,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
588,Hammarby IF,Nadir Benchenaa,21.0,Midfield,Assyriska FF,?,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
590,Hammarby IF,Nichlas Hindsberg,30.0,Left Midfield,Lyngby BK,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
601,IF Elfsborg,Eder Sarkis,19.0,Attack,Åtvidabergs FF,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
604,IF Elfsborg,Andréas Klarström,28.0,Right-Back,Esbjerg fB,?,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
608,BK Häcken,Peter Olofsson,30.0,Midfield,GIF Sundsvall,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
615,BK Häcken,Stig Töfting,36.0,Defensive Midfield,Randers FC,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
617,BK Häcken,Mats Haglund,29.0,Centre-Forward,Åtvidabergs FF,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
624,Örgryte IS,Marcelinho,21.0,Centre-Forward,Aalborg BK,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
641,Östers IF,Pavel Zavadil,27.0,Central Midfield,Mjällby AIF,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
666,Gefle IF,Yannick Bapupa,23.0,Right Midfield,Åtvidabergs FF,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
678,GAIS Göteborg,Mikael Sandklef,32.0,Left-Back,IFK Göteborg,?,in,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
698,AIK Solna,Brwa Nouri,19.0,Defensive Midfield,Åtvidabergs FF,loan transfer,out,Summer,,Allsvenskan,2006,2006/2007,Sweden,Allsvenskan,Sweden
