,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
482,Lillestrøm SK,Tom Gulbrandsen,32.0,Defensive Midfield,SV Ried,"End of loanDec 1, 1996",in,Winter,,Eliteserien,1996,1996/1997,Norway,Bundesliga,Austria
486,Lillestrøm SK,Arne Sandstö,30.0,Attack,Odd Grenland,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
492,Kongsvinger IL,Ludwig Ernstsson,24.0,Centre-Forward,Östers IF,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Allsvenskan,Sweden
499,FK Bodø/Glimt,Tommy Bergersen,24.0,Right Winger,Viking FK,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
503,Molde FK,Lee Robertson,23.0,Midfield,IK Start,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
506,Molde FK,Geir Televik,25.0,Attack,IL Hödd,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
508,Molde FK,Petter Rudi,23.0,Central Midfield,KAA Gent,"End of loanDec 31, 1996",in,Winter,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
511,Molde FK,Arild Stavrum,24.0,Centre-Forward,Stabæk Fotball,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
513,Molde FK,Petter Rudi,23.0,Central Midfield,KAA Gent,loan transfer,out,Winter,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
515,SK Brann,Arne Vidar Moen,25.0,Centre-Back,Tromsø IL,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
516,SK Brann,Stefan Paldan,25.0,Central Midfield,Östers IF,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Allsvenskan,Sweden
517,SK Brann,Morten Örum Pettersen,26.0,Defence,IK Start,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
519,SK Brann,Jan Ove Pedersen,28.0,Central Midfield,Cercle Brugge,"End of loanFeb 28, 1997",in,Winter,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
521,SK Brann,Jan Ove Pedersen,27.0,Central Midfield,Cercle Brugge,loan transfer,out,Winter,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
524,Stabæk Fotball,Frode Olsen,29.0,Goalkeeper,IK Start,free transfer,in,Winter,0.0,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
532,Tromsø IL,Frode Fermann,21.0,Midfield,Cercle Brugge,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
540,Sogndal IL,Rune Medalen,26.0,Attack,Bryne FK,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
542,FK Haugesund,Felix Aladesanmi Ademola,22.0,Midfield,Deportes Tolima,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Liga Dimayor I,Colombia
546,Strømsgodset IF,Lars Granaas,17.0,Defensive Midfield,Strømsgodset IF,-,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
548,Strømsgodset IF,Krister Are Isaksen,26.0,Attack,IK Start,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
554,Skeid Oslo,Anders Jacobsen,28.0,Centre-Back,IK Start,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
558,Rosenborg BK,Andreas Mayer,24.0,Central Midfield,Stabæk Fotball,free transfer,in,Summer,0.0,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
568,Viking FK,Magnus Svensson,28.0,Defensive Midfield,Halmstads BK,?,in,Summer,,Eliteserien,1997,1997/1998,Norway,Allsvenskan,Sweden
575,Lillestrøm SK,Mamadou Diallo,25.0,Centre-Forward,Zeytinburnuspor,?,in,Summer,,Eliteserien,1997,1997/1998,Norway,Super Lig,Turkey
579,Lillestrøm SK,Geir Frigard,26.0,Centre-Forward,LASK,?,out,Summer,,Eliteserien,1997,1997/1998,Norway,Bundesliga,Austria
589,Molde FK,Geir Televik,26.0,Attack,IL Hödd,loan transfer,out,Summer,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
593,SK Brann,Eivind Karlsbakk,22.0,Centre-Forward,Sogndal IL,?,out,Summer,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
622,Viking FK,Martin Andresen,20.0,Central Midfield,Stabæk Fotball,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
623,Viking FK,Jerry Mansson,25.0,Centre-Forward,Moss FK,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
628,Lillestrøm SK,Torjus Hansén,24.0,Right-Back,Odd Grenland,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
629,Lillestrøm SK,Svein Are Andreassen,29.0,Attack,Sogndal IL,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
636,Lillestrøm SK,Stale Solbakken,29.0,Central Midfield,Wimbledon FC,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Premier League,England
641,Kongsvinger IL,Gunnlaugur Jónsson,23.0,Centre-Back,Motherwell FC,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Scottish Premiership,Scotland
644,Kongsvinger IL,Hai Ngoc Tran,22.0,Left-Back,LASK,"End of loanNov 30, 1997",in,Winter,,Eliteserien,1997,1997/1998,Norway,Bundesliga,Austria
645,Kongsvinger IL,Hai Ngoc Tran,22.0,Left-Back,LASK,loan transfer,out,Winter,,Eliteserien,1997,1997/1998,Norway,Bundesliga,Austria
646,Kongsvinger IL,Tor Gunnar Johnsen,26.0,Attack,Odd Grenland,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
653,FK Bodø/Glimt,Bengt Saeternes,23.0,Centre-Forward,Odd Grenland,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
659,FK Bodø/Glimt,Havard Sakariassen,21.0,Centre-Forward,Odd Grenland,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
667,SK Brann,Egil Ulfstein,26.0,Left-Back,Viking FK,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
673,SK Brann,Asbjörn Tenden,22.0,Attack,IK Start,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
674,SK Brann,André Herfindal,20.0,Defence,Sogndal IL,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
675,Stabæk Fotball,Inge André Olsen,20.0,Centre-Back,IK Start,free transfer,in,Winter,0.0,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
676,Stabæk Fotball,Martin Andresen,20.0,Central Midfield,Viking FK,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
679,Stabæk Fotball,Petter Belsvik,30.0,Centre-Forward,Austria Vienna,"End of loanDec 1, 1997",in,Winter,,Eliteserien,1997,1997/1998,Norway,Bundesliga,Austria
680,Stabæk Fotball,Arild Stavrum,25.0,Centre-Forward,Helsingborgs IF,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Allsvenskan,Sweden
681,Stabæk Fotball,Thomas Frigard,25.0,Midfield,IK Start,?,out,Winter,,Eliteserien,1997,1997/1998,Norway,Eliteserien,Norway
682,Stabæk Fotball,Petter Belsvik,30.0,Centre-Forward,Austria Vienna,loan transfer,out,Winter,,Eliteserien,1997,1997/1998,Norway,Bundesliga,Austria
689,Tromsø IL,Marko Tuomela,25.0,Centre-Back,Motherwell FC,?,in,Winter,,Eliteserien,1997,1997/1998,Norway,Scottish Premiership,Scotland
