,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
305,Nagoya Grampus,Kunihiko Takizawa,26.0,Left Midfield,Vissel Kobe,loan transfer,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
307,Nagoya Grampus,Harutaka Ono,26.0,Attacking Midfield,Kashiwa Reysol,"End of loanJun 30, 2004",out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
310,Tokyo Verdy 1969,Patrick M'Boma,33.0,Centre-Forward,Vissel Kobe,free transfer,out,Summer,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
312,Albirex Niigata,Naoto Matsuo,24.0,Left-Back,Vissel Kobe,loan transfer,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
313,Albirex Niigata,Hiroshi Morita,26.0,Centre-Forward,Omiya Ardija,free transfer,out,Summer,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
317,Vissel Kobe,Patrick M'Boma,33.0,Centre-Forward,Tokyo Verdy,free transfer,in,Summer,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
318,Vissel Kobe,Hiromasa Yamamoto,25.0,Goalkeeper,Júbilo Iwata,loan transfer,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
319,Vissel Kobe,Tomoyuki Hirase,27.0,Centre-Forward,Kashima Antlers,?,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
320,Vissel Kobe,Seiji Honda,28.0,Goalkeeper,Nagoya Grampus,?,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
322,Vissel Kobe,Kazumichi Takagi,23.0,Centre-Back,Shimizu S-Pulse,loan transfer,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
323,Vissel Kobe,Kunihiko Takizawa,26.0,Left Midfield,Nagoya Grampus,loan transfer,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
324,Vissel Kobe,Harison,24.0,Right Winger,Gamba Osaka,free transfer,out,Summer,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
325,Vissel Kobe,Koji Yoshimura,28.0,Right-Back,Oita Trinita,?,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
326,Vissel Kobe,Naoto Matsuo,24.0,Left-Back,Albirex Niigata,loan transfer,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
327,Vissel Kobe,Fumiya Iwamaru,22.0,Goalkeeper,Júbilo Iwata,loan transfer,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
331,Sanfrecce Hiroshima,Jorginho,18.0,Centre-Forward,Nagoya Grampus,?,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
333,Sanfrecce Hiroshima,Yasuo Manaka,33.0,Attack,Yokohama FC,?,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
334,Sanfrecce Hiroshima,Yusuke Igawa,21.0,Centre-Back,Gamba Osaka,"End of loanJun 30, 2004",out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
335,Oita Trinita,Patrick Zwaanswijk,29.0,Centre-Back,FC Utrecht,free transfer,in,Summer,0.0,J1 League,2004,2004/2005,Japan,Eredivisie,Netherlands
336,Oita Trinita,Koji Yoshimura,28.0,Right-Back,Vissel Kobe,?,in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
340,Shimizu S-Pulse,Kazuyuki Toda,26.0,Defensive Midfield,ADO Den Haag,"End of loanJun 30, 2004",in,Summer,,J1 League,2004,2004/2005,Japan,Eredivisie,Netherlands
341,Shimizu S-Pulse,Fabinho,27.0,Defensive Midfield,Santos FC,?,out,Summer,,J1 League,2004,2004/2005,Japan,Campeonato Brasileiro Serie A,Brazil
342,Shimizu S-Pulse,Paulo Jamelli,29.0,Second Striker,UD Almería,?,out,Summer,,J1 League,2004,2004/2005,Japan,Primera Division,Spain
343,Shimizu S-Pulse,Kazumichi Takagi,23.0,Centre-Back,Vissel Kobe,loan transfer,out,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
350,Kashiwa Reysol,Harutaka Ono,26.0,Attacking Midfield,Nagoya Grampus,"End of loanJun 30, 2004",in,Summer,,J1 League,2004,2004/2005,Japan,J1 League,Japan
354,Omiya Ardija,Hiroshi Morita,26.0,Centre-Forward,Albirex Niigata,free transfer,in,Summer,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
360,Yokohama F. Marinos,Shingo Kumabayashi,23.0,Attacking Midfield,Shonan Bellmare,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
363,Yokohama F. Marinos,Yukihiko Sato,28.0,Attacking Midfield,Shimizu S-Pulse,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
365,Yokohama F. Marinos,Sang-chul Yoo,33.0,Central Midfield,Ulsan Hyundai,?,out,Winter,,J1 League,2004,2004/2005,Japan,K League 1,South Korea
366,Yokohama F. Marinos,Sotaro Yasunaga,28.0,Centre-Forward,Kashiwa Reysol,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
372,Urawa Red Diamonds,Masaya Nishitani,26.0,Left Winger,Vegalta Sendai,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
373,Urawa Red Diamonds,Toshiyuki Abe,30.0,Midfield,Albirex Niigata,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
378,Urawa Red Diamonds,Kenta Tokushige,20.0,Goalkeeper,Cerezo Osaka,"End of loanJan 31, 2005",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
381,Urawa Red Diamonds,Ichiei Muroi,30.0,Centre-Back,Vissel Kobe,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
384,Gamba Osaka,Araújo,27.0,Centre-Forward,Shimizu S-Pulse,loan transfer,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
386,Gamba Osaka,Koki Habata,21.0,Attack,Sagan Tosu,"End of loanJan 1, 2005",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
387,Gamba Osaka,Motohiro Yoshida,30.0,Goalkeeper,Cerezo Osaka,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
389,Gamba Osaka,Daisuke Yano,20.0,Centre-Back,Sagan Tosu,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
398,JEF United Chiba,Yutaka Takahashi,24.0,Centre-Forward,Omiya Ardija,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
399,JEF United Chiba,Haruki Seto,26.0,Centre-Back,Oita Trinita,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
400,JEF United Chiba,Kunihiko Takizawa,26.0,Left Midfield,Nagoya Grampus,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
406,JEF United Chiba,Zeljko Milinovic,35.0,Sweeper,LASK,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,Bundesliga,Austria
408,JEF United Chiba,Shinji Murai,25.0,Left Midfield,Júbilo Iwata,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
409,JEF United Chiba,Takayuki Chano,28.0,Centre-Back,Júbilo Iwata,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
413,JEF United Chiba,Marquinhos,28.0,Centre-Forward,Tokyo Verdy,"End of loanDec 1, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
415,Júbilo Iwata,Jin-kyu Kim,19.0,Centre-Back,Chunnam Dragons,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,K League 1,South Korea
424,Júbilo Iwata,Hiromasa Yamamoto,25.0,Goalkeeper,Vissel Kobe,"End of loanDec 31, 2004",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
426,Júbilo Iwata,Takahiro Yamanishi,28.0,Left-Back,Shimizu S-Pulse,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
427,Júbilo Iwata,Taikai Uemoto,22.0,Centre-Back,Oita Trinita,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
429,Júbilo Iwata,Fumiya Iwamaru,22.0,Goalkeeper,Vissel Kobe,"End of loanDec 1, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
433,Kashima Antlers,Yuzo Tashiro,22.0,Centre-Forward,Sagan Tosu,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
440,Kashima Antlers,Shinya Kato,24.0,Goalkeeper,Kashiwa Reysol,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
441,Kashima Antlers,Baron,30.0,Centre-Forward,Vegalta Sendai,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
443,Kashima Antlers,Masashi Otani,21.0,Midfield,Albirex Niigata,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
451,Nagoya Grampus,Takahiro Masukawa,25.0,Centre-Back,Avispa Fukuoka,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
455,Nagoya Grampus,Chikara Fujimoto,27.0,Left Midfield,Vissel Kobe,"End of loanJan 31, 2005",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
456,Nagoya Grampus,Kunihiko Takizawa,26.0,Left Midfield,Vissel Kobe,"End of loanDec 31, 2004",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
458,Nagoya Grampus,Keiji Kaimoto,32.0,Centre-Back,Albirex Niigata,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
459,Nagoya Grampus,Tetsuya Okayama,31.0,Attacking Midfield,Albirex Niigata,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
460,Nagoya Grampus,Taisei Fujita,22.0,Left-Back,FC Tokyo,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
462,Nagoya Grampus,Chikara Fujimoto,27.0,Left Midfield,Omiya Ardija,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
463,Nagoya Grampus,Ryoji Ujihara,23.0,Attack,Sagan Tosu,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
467,Nagoya Grampus,Kojiro Kaimoto,27.0,Right-Back,Albirex Niigata,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
468,Nagoya Grampus,Naoto Kono,19.0,Goalkeeper,Avispa Fukuoka,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
474,FC Tokyo,Taisei Fujita,22.0,Left-Back,Nagoya Grampus,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
477,FC Tokyo,Hiroyuki Omata,21.0,Left-Back,Omiya Ardija,"End of loanDec 31, 2004",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
479,FC Tokyo,Tadanari Lee,19.0,Centre-Forward,Kashiwa Reysol,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
480,FC Tokyo,Jang-eun Oh,19.0,Central Midfield,Daegu FC,?,out,Winter,,J1 League,2004,2004/2005,Japan,K League 1,South Korea
481,FC Tokyo,Yoshiro Abe,24.0,Centre-Forward,Oita Trinita,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
485,Tokyo Verdy 1969,Kenichi Uemura,30.0,Centre-Back,Cerezo Osaka,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
489,Tokyo Verdy 1969,Kazuyuki Toda,27.0,Defensive Midfield,Shimizu S-Pulse,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
491,Tokyo Verdy 1969,Takahiro Shibasaki,22.0,Goalkeeper,Yokohama FC,"End of loanJan 31, 2005",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
493,Tokyo Verdy 1969,Seitaro Tomisawa,22.0,Centre-Back,Vegalta Sendai,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
494,Tokyo Verdy 1969,Atsuhiro Miura,30.0,Left Midfield,Vissel Kobe,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
495,Tokyo Verdy 1969,Naoto Sakurai,29.0,Centre-Forward,Omiya Ardija,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
496,Tokyo Verdy 1969,Takahiro Shibasaki,22.0,Goalkeeper,Yokohama FC,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
497,Tokyo Verdy 1969,Yugo Ichiyanagi,19.0,Centre-Back,Sagan Tosu,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
500,Tokyo Verdy 1969,Claudio Úbeda,35.0,Centre-Back,Racing Club,"End of loanDec 31, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,Superliga,Argentina
502,Albirex Niigata,Keiji Kaimoto,32.0,Centre-Back,Nagoya Grampus,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
504,Albirex Niigata,Tetsuya Okayama,31.0,Attacking Midfield,Nagoya Grampus,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
511,Albirex Niigata,Daisuke Aono,25.0,Left Winger,Vissel Kobe,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
513,Albirex Niigata,Kojiro Kaimoto,27.0,Right-Back,Nagoya Grampus,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
516,Albirex Niigata,Masashi Otani,21.0,Midfield,Kashima Antlers,loan transfer,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
520,Albirex Niigata,Keisuke Kurihara,31.0,Attacking Midfield,Vissel Kobe,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
523,Albirex Niigata,Motohiro Yamaguchi,35.0,Defensive Midfield,Yokohama FC,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
524,Albirex Niigata,Hikaru Mita,23.0,Defensive Midfield,Vegalta Sendai,loan transfer,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
526,Albirex Niigata,Naoto Matsuo,25.0,Left-Back,Vissel Kobe,"End of loanDec 31, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
528,Vissel Kobe,Keisuke Kurihara,31.0,Attacking Midfield,Albirex Niigata,free transfer,in,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
535,Vissel Kobe,Atsuhiro Miura,30.0,Left Midfield,Tokyo Verdy,?,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
536,Vissel Kobe,Kensaku Abe,24.0,Goalkeeper,Ventforet Kofu,loan transfer,in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
537,Vissel Kobe,Fumiya Iwamaru,22.0,Goalkeeper,Júbilo Iwata,"End of loanDec 1, 2004",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
538,Vissel Kobe,Naoto Matsuo,25.0,Left-Back,Albirex Niigata,"End of loanDec 31, 2004",in,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
540,Vissel Kobe,Yukio Tsuchiya,30.0,Centre-Back,Kashiwa Reysol,free transfer,out,Winter,0.0,J1 League,2004,2004/2005,Japan,J1 League,Japan
542,Vissel Kobe,Daisuke Aono,25.0,Left Winger,Albirex Niigata,?,out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
545,Vissel Kobe,Kazumichi Takagi,24.0,Centre-Back,Shimizu S-Pulse,"End of loanDec 31, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
546,Vissel Kobe,Hiromasa Yamamoto,25.0,Goalkeeper,Júbilo Iwata,"End of loanDec 31, 2004",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
547,Vissel Kobe,Chikara Fujimoto,27.0,Left Midfield,Nagoya Grampus,"End of loanJan 31, 2005",out,Winter,,J1 League,2004,2004/2005,Japan,J1 League,Japan
