club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Hammarby IF,Antti Pohja,24,Attacking Midfield,Tampere United,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Erik Pilfalk,20,Centre-Forward,Alta IF,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Fredrik Winsnes,26,Central Midfield,Rosenborg,loan transfer,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Ahmet Özdemirok,20,Right-Back,Hammarby U21,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Patrik Manzila,21,Midfield,Unknown,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Roger Sandberg,29,Defence,Gröndals IK,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Lars Eriksson,36,Goalkeeper,Retired,-,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Hans Eskilsson,35,Attack,Career break,-,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Stefan Alander,18,Centre-Back,IFK Timrå,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Marcus Olofsson,19,Right Winger,Unknown,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Erik Sandvärn,26,Defence,Umeå FC,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Tommy Bergersen,29,Right Winger,Bodø/Glimt,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Fredrik Norberg,18,Attack,Unknown,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,McKinley Tennyson Jr,23,Attack,Portland,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Andreas Yngvesson,27,Centre-Forward,Malmö FF,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
GIF Sundsvall,Michael Brundin,36,Centre-Back,Retired,,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Jimmy Tamandi,21,Right-Back,Malmö FF,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Svante Samuelsson,29,Central Midfield,Brann,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Daniel Örlund,21,Goalkeeper,Spårvägen,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Mattias Nylund,21,Right-Back,IFK Timrå,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Mattias Thylander,27,Defensive Midfield,Halmstads BK,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Dime Jankulovski,24,Goalkeeper,IK Start,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Nebojsa Novakovic,37,Centre-Forward,AFC Eskilstuna,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Pontus Kamark,32,Centre-Back,IFK Göteborg,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
AIK Solna,Jannis Vasiliou,20,Left-Back,IFK Lidingö,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
